uc_seq,name,gugun,lat,lng,site,title,subtitle,address1,address2,homepage_u,usage_day,rprsntv_me,main_img_n,main_img_t,itemcntnts,WKT
"1484","쉐프리","해운대구","35.159615","129.15382","쉐프리","쉐프리","-","해운대구 해운대해변로209번길 13 바게트호텔 3층","-","-","12:00-15:00 / 17:30-22:00","앤초비 파스타, 고르곤졸라 피자","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602144603179_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602144603179_thumbL","화려한 경력의 오너쉐프가 운영하는 이탈리안 레스토랑으로 와인과도 잘 어울리는요리들을 만날 수 있다.예쁜 모습의 음식들이 많이 유행하고 있지만 역시 음식의 본질은 맛이다.","POINT (129.15382 35.159615)"
"1485","부우사안","해운대구","35.160133","129.1545","부우사안","부우사안","-","해운대구 해운대해변로209번나길 16","-","-","11:30-15:00 / 17:00-22:00","당일 예약 베이징덕, 런치세트B","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602145152107_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602145152107_thumbL","베이징덕으로 유명한 정통중식당으로 조금 특별한 날에 특별한 메뉴를 찾는 사람에게 권할만한 곳이다.카빙 전 베이징덕을 먼저 보여주고 먹을 수 있게 장만해 주는 것이 재미있다.","POINT (129.1545 35.160133)"
"1486","스톤스트릿","중구","35.102036","129.03119","스톤스트릿","스톤스트릿","-","중구 광복중앙로 24번길 9","-","-","12:00-21:00","청포도 샐러드, 마르게리따 피자","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602145719327_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602145719327_thumbL","캐주얼한 화덕피자와 파스타가 인기 높은 곳으로 음식에 사용되는 리코타 치즈는매일 직접 만든다고 한다. 시그니처 메뉴는 난과 함께 제공되는 청포도 샐러드인데이곳의 단골들이 강력하게","POINT (129.03119 35.102036)"
"1487","산동완탕교자관","동구","35.119602","129.04268","산동완탕교자관","산동완탕교자관","-","동구 중앙대로248번길 3-11 (1층)","-","-","10:00-22:00","가지요리, 마파두부","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602145733245_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602145733245_thumbL","중국인이 운영하고 있는 이곳은 중국에 있는 식당이 그대로 위치만 옮긴 것 같은 느낌을 준다.만두를 전문으로 하고 낯선 메뉴와 현지화 되지 않은 중국 본토의 맛을 경험할 수 있는 특별한 식","POINT (129.04268 35.119602)"
"1488","삼형제오리","영도구","35.09349","129.03928","삼형제오리","삼형제오리","-","영도구 태종로 73번길 23","-","-","12:00-14:00 / 15:00-22:00","양꼬치 2인, 오리바베큐","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602150346849_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602150346849_thumbL","중국 현지 북경오리 프랜차이즈의 국내 유일 지점으로 숯불에 구운 오리바베큐가 대표메뉴지만, 양갈비살로 만든 양꼬치도 인기 있다.오리바베큐를 먹기 위해선 예약이 필수다.","POINT (129.03928 35.09349)"
"1489","석기시대","중구","35.106155","129.03487","석기시대","석기시대","-","중구 동광길 75-1","-","-","15:00-22:00","오향장육, 군만두","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602151125877_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602151125877_thumbL","1987년에 개업한 중국만두전문점으로 맛과 품질에 비해 저렴한 가격의 만두와 오향장육을 만날 수 있다. 가볍게 술 마시기 좋은 곳으로 많은 단골손님이 찾아오는 가게이다.","POINT (129.03487 35.106155)"
"1490","음주양식당 오스테리아 어부","부산진구","35.153934","129.06258","음주양식당 오스테리아 어부","음주양식당 오스테리아 어부","-","부산진구 동천로58","-","-","17:00-14:30 / 17:00-24:00","나폴리식 갯바위 파스타, 로마식 까르보나라","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602153349276_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602153349276_thumbL","한국인에게는 다소 생소한 맛일지라도 이탈리아의 맛을 좋아하는 사람들을 위해이탈리아 현지의 맛을 기준으로 조리한다는 이곳.이곳은 부산이지만 이 공간만큼은 분명히 이탈리아다.","POINT (129.06258 35.153934)"
"1491","칸웨이","강서구","35.08141","128.90326","칸웨이","칸웨이","-","강서구 명지오션시티4로 84","-","-","11:00-15:00 / 17:00-22:00","요리코스1, 돼지고기탕수육","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602153447605_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602153447605_thumbL","롯데호텔 중식당과 한식당의 책임자로 각종 국제행사를 책임지던 대표가 선보이는 고급 중식레스토랑이다. 가족외식하기 좋으며, 중식코스 요리가 대표메뉴이다.","POINT (128.90326 35.08141)"
"1492","고옥","수영구","35.143585","129.10974","고옥","고옥","-","수영구 광남로 6 남천동 12-8번지","-","-","11:30-15:00 / 17:00-21:00","히츠마부시, 아나고 히츠마부시","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602174114924_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602174114924_thumbL","부산에서 히츠마부시를 유행시킨 유명한 곳으로, 장어는 숯불을 사용하며 굽고그날 사용할 장어가 떨어지면 조기 마감한다. 예약을 받지 않고 입점순서대로 식사를 제공한다.","POINT (129.10974 35.143585)"
"1493","글라스 앤 보틀","연제구","35.188755","129.0872","글라스 앤 보틀","글라스 앤 보틀","-","연제구 쌍미천로 179-1","-","-","18:00-24:00","들기름 명란 카펠리니, 네기도로 타르타르","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602175414282_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230602175414282_thumbL","일본의 골목길 비스트로를 연상시키는 분위기의 아담한 와인바로 부부가 함께 운영하고 있는 곳으로, 일식 기반의 캐주얼한 요리들이 와인과 무척 잘 어울린다. 테이블 수가 작아 예약이 필수","POINT (129.0872 35.188755)"
"1494","앙탄","강서구","35.204876","128.90659","앙탄","앙탄","-","강서구 식만로 118-1","-","-","11:30-16:00 / 17:00-20:30","오리코스요리","https://www.visitbusan.net/uploadImgs/files/cntnts/20230603140846612_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230603140846612_thumbL","낙동강 강변에 위치한 조용하고 여유로운 식당으로, 멋진 풍경을 감상할 수 있는오리코스요리 전문점이다.깔끔하고 기분 좋은 코스와 시그니처 디저트 곶감말이까지 여러모로 기분 좋은 곳이","POINT (128.90659 35.204876)"
"1495","교토돈부리본점","남구","35.137672","129.10362","교토돈부리본점","교토돈부리본점","-","남구 용소로13번길 61","-","-","11:00-16:00 / 17:00-20:30","연어뱃살덮밥, 가츠동벤또","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605092808009_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605092808009_thumbL","제주산 흑돼지로 만든 돈카츠와 생연어를 숙성시킨 연어뱃살덮밥으로 인기 있는 일식덮밥전문점으로, 무척 높은 수준의 음식을 만날 수 있다.재료손질과 사용하는 소스 등도 모두 직접 장만�","POINT (129.10362 35.137672)"
"1496","나가하마 만게츠","해운대구","35.16669","129.15746","나가하마 만게츠","나가하마 만게츠","-","해운대구 우동1로 57 대영빌딩1층","-","-","11:00-15:30 / 16:30-20:30","나가하마 라멘, 나가하마 라멘 교자셋트","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605093355335_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605093355335_thumbL","해리단길의 유명한 일본라멘전문점으로 후쿠오카의 유명한 라멘전문점의 유일한 한국분점이다. 최근에는 해운대로 관광 온 젊은 층의 필수코스가 되어가고 있어 오픈과 동시에 웨이팅이 시�","POINT (129.15746 35.16669)"
"1497","노는바다","수영구","35.140026","129.10835","노는바다","노는바다","-","수영구 황령대로 481번길 39 1층","-","-","17:00-24:00","고노와다 사시미, 수제치킨가라아게","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605094032446_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605094032446_thumbL","해삼내장을 손질한 고노와다로 유명한 일본식주점으로 이곳의 고노와다 사시미를경험해보기 위해 먼 곳에서도 찾아오는 사람도 많다고 한다.대기하는 사람이 많아 두 시간 이용 제한이 있다.","POINT (129.10835 35.140026)"
"1498","동경밥상","수영구","35.148396","129.11385","동경밥상","동경밥상","-","수영구 남천바다로 34-6","-","-","11:30-15:00 / 17:30-21:00","우나쥬, 히츠마부시","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605094602155_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605094602155_thumbL","240여 년의 긴 역사를 가진 일본의 장어요리전문점 쥬바코에서 오랜 수련을 거친오너쉐프가 쥬바코 스타일의 정통방식으로 만든 장어구이를 선보이는 곳으로,외관부터 내부까지 일본에 온 듯�","POINT (129.11385 35.148396)"
"1499","?","기장군","35.25241","129.217","?","?","-","기장군 기장읍 차성동로 163","-","-","12:00-14:30 / 17:00-21:30","점심특선 한 접시, 저녁 한 접시","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605100447110_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605100447110_thumbL","무려 25년 경력의 셰프가 갓 만든 초밥이 레일위에 놓여있는 회전초밥전문점인 이곳은 좌천 쌀을 사용하며 초밥의 가격은 모두 동일하다.먹고 싶은걸 말하면 그 즉시 만들어주기도 한다.","POINT (129.217 35.25241)"
"1500","스시미르네","해운대구","35.17129","129.17677","스시미르네","스시미르네","-","해운대구 세실로 75","-","-","11:30-14:30 / 17:00-21:00","물회소바 중, 명품초밥","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605101152134_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605101152134_thumbL","초밥의 대중화를 이끈 초밥전문점 중 한 곳인 이곳은 초심을 잃지 않고 음식을 만든다는 철학으로 한국인기브랜드 대상을 수상한 곳이기도 하다.색다른 모습을 가진 통우나동과 물회가 특징�","POINT (129.17677 35.17129)"
"1501","스시심 타카이","금정구","35.230793","129.08801","스시심 타카이","스시심 타카이","-","금정구 부산대학로 29 네오스퀘어 2층","-","-","12:00 / 14:00 / 18:00 / 20:00","런치, 디너","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605101855650_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605101855650_thumbL","점심, 저녁 각각 두 차례씩 예약제로 운영하는 초밥전문점으로 숙련된 셰프가 제공하는오마카세는 맛과 가격 모두를 만족시킨다고 한다.예약에만 3개월이 걸릴 정도로 높은 인기를 자랑하는 �","POINT (129.08801 35.230793)"
"1502","야스마루","부산진구","35.15605","129.06439","야스마루","야스마루","-","부산진구 서전로 38번길 35-14, 제일빌딩 102호","-","-","12:00-14:50 / 17:30-21:00","파랑국수, 고등어김말이","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605102650287_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605102650287_thumbL","입맛 없는 여름에 맛있게 먹을 수 있는 음식을 만들려고 했다지만 계절에 관계없이 항상 긴 줄이 서있는 곳으로 독특한 모습의 파랑국수가 대표메뉴.간판 없는 인기식당으로도 유명하다.","POINT (129.06439 35.15605)"
"1503","중앙모밀","중구","35.101845","129.0353","중앙모밀","중앙모밀","-","중구 중앙대로 49번길 9-1","-","-","11:00-20:00","모밀국수, 가락우동","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605103535444_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605103535444_thumbL","1956년에 개업하여 60여 년의 역사를 가진 우동·메밀국수전문점으로 부산의 기성세대들에게는 특별한 날 부모님과 함께 왔던 어린 시절의 추억이 있는 곳이다.3대가 함께 식사하는 모습을 자주","POINT (129.0353 35.101845)"
